No,Category,Criteria,Metrics,Score,Passing Grade,Pass/Not Pass,Infraction Details
87,Kebersihan Outlet,Taps - permukaan,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",-,2.0,Not Pass,-
88,Kebersihan Outlet,AC - Pembuangan air,"2 - Kosong atau terisi < 25%
1 - Terisi 25 - 99%
0 - Overflow",-,1.0,Not Pass,-
89,Kebersihan Outlet,Kipas angin,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",0,2.0,Pass,-
90,Kebersihan Outlet,Lingkungan sekitar outlet,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,-
91,Kebersihan Outlet,Tempat sampah,"2 - Terisi < 75%, tidak berbau
1 - Terisi 75-100%, tidak berbau
0 - Overflow atau berbau",-,1.0,Not Pass,Langsung dibuang ke tempat sampah milik Pestigo
92,Higiene Staf,Bau badan,"1 - Tidak berbau
0 - Bau badan tercium jelas",1,1.0,Pass,-
93,Higiene Staf,Deodoran,"1 - Menggunakan deodoran
0 - Tidak menggunakan deodoran",-,1.0,Not Pass,-
94,Higiene Staf,Rambut,"2 - Rambut bersih dan rapi
1 - Rambut tidak bersih atau tidak rapi
0 - Rambut tidak bersih dan tidak rapi",2,1.0,Pass,-
95,Higiene Staf,Kumis/janggut,"2 - Rambut bersih dan rapi
1 - Rambut tidak bersih atau tidak rapi
0 - Rambut tidak bersih dan tidak rapi",2,1.0,Pass,-
96,Higiene Staf,Kuku,"1 - Kuku tangan terpotong pendek
0 - Kuku tangan panjang",1,1.0,Pass,-
97,Higiene Staf,Seragam,"3 - Seragam bersih, atribut benar
2 - Salah satu kriteria di atas tidak terpenuhi
1 - Dua kriteria di atas tidak terpenuhi
0 - Tidak mengenakan seragam",-,2.0,Not Pass,Celana Pendek
98,Higiene Staf,Aksesoris,"1 - Tidak ada atau 1 aksesoris
0 - Lebih dari 1 aksesoris",0,1.0,Not Pass,"Pakai cincin, kalung, anting"
99,Higiene Staf,Mencuci tangan,"1 - Mencuci tangan sesuai standar
0 - Tidak mencuci tangan",0,1.0,Not Pass,Menyesuaikan kondisi
100,Aplikasi,Grabfood - Menu,"1 - Menu sesuai dengan stok
0 - Menu tidak sesuai dengan stok",1,1.0,Pass,-
101,Aplikasi,Grabfood - Review,"Hanya nilai review dalam 1 minggu terakhir.
2 - Mayoritas review positif
1 - Ada review negatif
0 - Mayoritas review negatif",-,2.0,Not Pass,Tidak ada review terbaru dalam 7 hari terakhir
102,Aplikasi,Gofood - Menu,"1 - Menu sesuai dengan stok
0 - Menu tidak sesuai dengan stok",1,1.0,Pass,-
103,Aplikasi,Gofood - Review,"Hanya nilai review dalam 1 minggu terakhir.
2 - Mayoritas review positif
1 - Ada review negatif
0 - Mayoritas review negatif",-,2.0,Not Pass,Tidak ada review terbaru dalam 7 hari terakhir
104,Aplikasi,Shopeefood - Menu,"1 - Menu sesuai dengan stok
0 - Menu tidak sesuai dengan stok",1,1.0,Pass,-
105,Aplikasi,Shopeefood - Review,"Hanya nilai review dalam 1 minggu terakhir.
2 - Mayoritas review positif
1 - Ada review negatif
0 - Mayoritas review negatif",2,2.0,Pass,"Tidak banyak, tapi mayoritas positif"
106,Aplikasi,Google Maps - Review,"Hanya nilai review dalam 1 minggu terakhir.
2 - Mayoritas review positif
1 - Ada review negatif
0 - Mayoritas review negatif",-,2.0,Not Pass,-
107,Maintenance,Air conditioner - Status,Cek AC menyala atau tidak.,,,,
108,Maintenance,Air conditioner - Suhu remote,Cek suhu yang ditampilkan di remote.,,,,
109,Maintenance,Air conditioner - Suhu ruangan,"Cek suhu ruangan, selisih dengan suhu remote.",,,,
110,Maintenance,Air conditioner - Menetes,Cek apakah terdapat air menetes dari mesin AC.,,,,
111,Maintenance,Air conditioner - Visual,"Cek kondisi visual AC, bersih atau berdebu.",,,,
112,Maintenance,Exhaust fan - Status,Cek exhaust fan menyala atau tidak.,,,,
113,Maintenance,Exhaust fan - Visual,"Cek kondisi visual exhaust fan, bersih atau berdebu.",,,,
114,Maintenance,Chiller - Status,"Untuk setiap chiller, cek apakah chiller menyala dan terasa dingin.",,,,
115,Maintenance,Chiller - Indikator,"Untuk setiap chiller, catat suhu yang tampil di indikator.",,,,
116,Maintenance,Chiller - Suhu internal,"Untuk setiap chiller, cek suhu produk paling belakang di setiap rak, berapa selisih dengan suhu indikator.",,,,
117,Maintenance,Chiller - Lampu,"Untuk setiap chiller, cek lampu menyala atau tidak.",,,,
